,date,chain_network,collateral_symbol,exposure_supplyUsd
0,2025-05-01,ethereum,deUSD,468133.1672906657
1,2025-05-01,ethereum,sdeUSD,71680845.12592402
2,2025-05-02,ethereum,deUSD,421147.17377876776
3,2025-05-02,ethereum,sdeUSD,66614629.36528826
4,2025-05-03,ethereum,deUSD,218826.99282040683
5,2025-05-03,ethereum,sdeUSD,63863318.56691765
6,2025-05-04,ethereum,deUSD,265246.69437045755
7,2025-05-04,ethereum,sdeUSD,67081212.04502963
8,2025-05-05,ethereum,deUSD,253091.28838485706
9,2025-05-05,ethereum,sdeUSD,78226098.76597066
10,2025-05-06,ethereum,deUSD,226849.5180096763
11,2025-05-06,ethereum,sdeUSD,73789330.14056897
12,2025-05-07,ethereum,deUSD,244680.9002035655
13,2025-05-07,ethereum,sdeUSD,73342874.45174827
14,2025-05-08,ethereum,deUSD,245157.6132086708
15,2025-05-08,ethereum,sdeUSD,75768134.02473265
16,2025-05-09,ethereum,deUSD,1321341.8074062343
17,2025-05-09,ethereum,sdeUSD,62757676.88825347
18,2025-05-10,ethereum,deUSD,1307473.9903011764
19,2025-05-10,ethereum,sdeUSD,61675259.24722576
20,2025-05-11,ethereum,deUSD,1307551.474491565
21,2025-05-11,ethereum,sdeUSD,63054566.565342
22,2025-05-12,ethereum,deUSD,1302454.1517201217
23,2025-05-12,ethereum,sdeUSD,67038459.35212996
24,2025-05-13,ethereum,deUSD,1226023.807173
25,2025-05-13,ethereum,sdeUSD,56662548.310429
26,2025-05-14,ethereum,deUSD,1221119.0515770123
27,2025-05-14,ethereum,sdeUSD,62510983.62111271
28,2025-05-15,ethereum,deUSD,187051.3988402018
29,2025-05-15,ethereum,sdeUSD,63128262.9403946
30,2025-05-16,ethereum,deUSD,283555.4151127858
31,2025-05-16,ethereum,sdeUSD,62962146.005753726
32,2025-05-17,ethereum,deUSD,187219.37126712583
33,2025-05-17,ethereum,sdeUSD,61592448.0761841
34,2025-05-18,ethereum,deUSD,232944.83139174376
35,2025-05-18,ethereum,sdeUSD,61551111.56864041
36,2025-05-19,ethereum,deUSD,232572.6021788235
37,2025-05-19,ethereum,sdeUSD,64835701.826905444
38,2025-05-20,ethereum,deUSD,229704.723063706
39,2025-05-20,ethereum,sdeUSD,62113326.60714668
40,2025-05-21,ethereum,deUSD,229733.6973889547
41,2025-05-21,ethereum,sdeUSD,61067100.84259752
42,2025-05-22,ethereum,deUSD,229739.2098785209
43,2025-05-22,ethereum,sdeUSD,63739663.49930482
44,2025-05-23,ethereum,deUSD,229757.33861548352
45,2025-05-23,ethereum,sdeUSD,57025365.42750596
